full_path,question,answer
/kaggle/input/vrmini2/abo-images-small/images/small/7d/7dcdcdf7.jpg,Is this case 3D printed?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/6b/6ba2b0b7.jpg,What is the primary flavor of the protein?,Chocolate
/kaggle/input/vrmini2/abo-images-small/images/small/06/066bcbe1.jpg,What is the dominant color of the case's design?,Yellow
/kaggle/input/vrmini2/abo-images-small/images/small/8d/8d01cc10.jpg,What color are the sandals?,Pink
/kaggle/input/vrmini2/abo-images-small/images/small/49/49f4be7d.jpg,What color are these ballet flats?,Grey
/kaggle/input/vrmini2/abo-images-small/images/small/5c/5cb78db8.jpg,What material is the bean bag cover made of?,Leatherette
/kaggle/input/vrmini2/abo-images-small/images/small/6d/6dc1e224.jpg,What color are the green beans shown on the package?,Green
/kaggle/input/vrmini2/abo-images-small/images/small/50/5036f1c3.jpg,What is the primary design feature of this case?,Cat
/kaggle/input/vrmini2/abo-images-small/images/small/c6/c60829db.jpg,What is the lamp's primary color?,Silver
/kaggle/input/vrmini2/abo-images-small/images/small/d9/d9c2bd8c.jpg,What letter is prominently featured on the case?,T
/kaggle/input/vrmini2/abo-images-small/images/small/11/11b7f881.jpg,Is the cushion attached to the frame?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/19/1904731a.jpg,How many ballerina figures are visible on the phone case?,16
/kaggle/input/vrmini2/abo-images-small/images/small/f3/f318b6e0.jpg,What is the primary design element of the case?,Tree
/kaggle/input/vrmini2/abo-images-small/images/small/bd/bd814b3b.jpg,What is the weight of the product in ounces?,Fifteen
/kaggle/input/vrmini2/abo-images-small/images/small/d4/d42f976e.jpg,How many prominent pieces of wood are visible in the burning fire image on the case?,Four
/kaggle/input/vrmini2/abo-images-small/images/small/08/081a9251.jpg,"Considering its geometric design, what room would this print best suit?",Modern
/kaggle/input/vrmini2/abo-images-small/images/small/59/5961a35b.jpg,What is the shoe's style?,Formal
/kaggle/input/vrmini2/abo-images-small/images/small/53/53ce6a13.jpg,"According to the metadata, where were these earrings manufactured?",USA
/kaggle/input/vrmini2/abo-images-small/images/small/c8/c8222e88.jpg,What is the case's primary design feature?,TARDIS
/kaggle/input/vrmini2/abo-images-small/images/small/9a/9a72d09b.jpg,Is this phone case designed for a OnePlus 7T Pro?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/c6/c66bb93d.jpg,"Given the image and ""3D Printed"" metadata, what is the case's texture likely to be?",Raised
/kaggle/input/vrmini2/abo-images-small/images/small/03/030125e8.jpg,What color is the background of the phone case?,Red
/kaggle/input/vrmini2/abo-images-small/images/small/3d/3dfb3d27.jpg,Does this bean bag cover include filling?,No
/kaggle/input/vrmini2/abo-images-small/images/small/37/37e4eb1e.jpg,How many seat cushions are visible on the sofa?,Three
/kaggle/input/vrmini2/abo-images-small/images/small/79/79d000e2.jpg,What is the primary function of this product?,Waste
/kaggle/input/vrmini2/abo-images-small/images/small/04/04fa3e16.jpg,What material is the case made of?,Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/88/88f76cb7.jpg,How many sections does the lid appear to have?,Two
/kaggle/input/vrmini2/abo-images-small/images/small/da/daf2204a.jpg,What color is the suitcase?,Black
/kaggle/input/vrmini2/abo-images-small/images/small/8c/8ce00b4f.jpg,Material?,Cotton
/kaggle/input/vrmini2/abo-images-small/images/small/d5/d59f7fa7.jpg,"Given the keywords and the image, what is the shape of the dining table?",Round
/kaggle/input/vrmini2/abo-images-small/images/small/51/510ccefc.jpg,What is the product's primary ingredient?,Figs
/kaggle/input/vrmini2/abo-images-small/images/small/88/88440790.jpg,What letter is depicted on the pendant?,L
/kaggle/input/vrmini2/abo-images-small/images/small/8d/8d598fb5.jpg,What is the ring's metal type?,Silver
/kaggle/input/vrmini2/abo-images-small/images/small/f7/f7207dd7.jpg,What color are these men's formal shoes?,Tan
/kaggle/input/vrmini2/abo-images-small/images/small/df/df28553a.jpg,What is the net weight of the can?,15oz
/kaggle/input/vrmini2/abo-images-small/images/small/43/43b414e9.jpg,What phone model is this case designed for?,Redmi
/kaggle/input/vrmini2/abo-images-small/images/small/46/463af0c3.jpg,What design is depicted on the case?,Wood
/kaggle/input/vrmini2/abo-images-small/images/small/ec/ec8d65c7.jpg,What phone model is this case designed for?,Realme
/kaggle/input/vrmini2/abo-images-small/images/small/e4/e453750e.jpg,How many colors are prominently featured in the design?,Six
/kaggle/input/vrmini2/abo-images-small/images/small/e3/e364d290.jpg,What is the net weight of the cinnamon in the container?,15
/kaggle/input/vrmini2/abo-images-small/images/small/e7/e74de255.jpg,Is the phone case design primarily geometric or floral?,Floral
/kaggle/input/vrmini2/abo-images-small/images/small/87/87c11ce5.jpg,"Based on the product name, what material are these likely made of?",Velvet
/kaggle/input/vrmini2/abo-images-small/images/small/7a/7ac7ed9f.jpg,What is the primary color?,Black
/kaggle/input/vrmini2/abo-images-small/images/small/89/89cae6f0.jpg,What color are the gemstones?,Green
/kaggle/input/vrmini2/abo-images-small/images/small/37/3705883d.jpg,"Given the image showing the interior and the metadata, what key security feature does this wallet offer?",RFID
/kaggle/input/vrmini2/abo-images-small/images/small/f9/f9439c1a.jpg,Is the phone case design primarily black and white?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/09/096a0183.jpg,Is the case 3D printed?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/98/980f3595.jpg,What is the dominant design theme?,Peace
/kaggle/input/vrmini2/abo-images-small/images/small/b0/b099bf2a.jpg,"What is the shoe's material, according to the metadata?",Cotton
/kaggle/input/vrmini2/abo-images-small/images/small/8a/8acddfdf.jpg,What color are the lids of the containers?,Teal
/kaggle/input/vrmini2/abo-images-small/images/small/36/36a31cc5.jpg,What is the dominant color scheme of the design?,Pastel
/kaggle/input/vrmini2/abo-images-small/images/small/14/140b78ec.jpg,What phone model is this case designed for?,LeTV
/kaggle/input/vrmini2/abo-images-small/images/small/36/361c236b.jpg,"Given the metadata, for which phone model is this case designed?",Xperia
/kaggle/input/vrmini2/abo-images-small/images/small/c1/c1fe90c0.jpg,What material is the lamp's base made of?,Metal
/kaggle/input/vrmini2/abo-images-small/images/small/53/53a5e274.jpg,Does the phone case have cutouts for the buttons and ports?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/ce/ce6545fb.jpg,How many primary colors are used in the design?,Three
/kaggle/input/vrmini2/abo-images-small/images/small/69/697377e5.jpg,How many legs does this bar stool have?,Four
/kaggle/input/vrmini2/abo-images-small/images/small/13/13212937.jpg,What is the closure type of the shoe?,Zipper
/kaggle/input/vrmini2/abo-images-small/images/small/e2/e22cd59d.jpg,What colors are predominantly featured on the phone case?,Blue
/kaggle/input/vrmini2/abo-images-small/images/small/34/34d22a19.jpg,What material is the case made of?,Hard-plastic
/kaggle/input/vrmini2/abo-images-small/images/small/cc/cc0fa9e9.jpg,What is the color of the stand?,Black
/kaggle/input/vrmini2/abo-images-small/images/small/84/84e10f97.jpg,What is the dominant color of the clock face?,Blue
/kaggle/input/vrmini2/abo-images-small/images/small/4e/4ebb8bae.jpg,What is the primary function of this product?,Pest control
/kaggle/input/vrmini2/abo-images-small/images/small/86/8667622f.jpg,What is the boot's closure type?,Zip
/kaggle/input/vrmini2/abo-images-small/images/small/b3/b3ef6917.jpg,What color is the background of the phone case?,Pink
/kaggle/input/vrmini2/abo-images-small/images/small/9e/9e391f20.jpg,Is the phone case design a photograph or a drawing?,Photograph
/kaggle/input/vrmini2/abo-images-small/images/small/a9/a95e8413.jpg,What color are the sneakers?,Grey
/kaggle/input/vrmini2/abo-images-small/images/small/f4/f490c8de.jpg,What is the dominant color of the case design?,Pink
/kaggle/input/vrmini2/abo-images-small/images/small/63/63f9e4a5.jpg,"Given the image and material description, what is the texture of the fabric?",Soft
/kaggle/input/vrmini2/abo-images-small/images/small/a4/a4d87e7a.jpg,What is the shoe's toe shape?,Pointed
/kaggle/input/vrmini2/abo-images-small/images/small/8f/8f84af6c.jpg,How many rectangular blocks are visible in the image?,16
/kaggle/input/vrmini2/abo-images-small/images/small/8e/8ed1b932.jpg,Is the phone case design symmetrical?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/90/901622ee.jpg,What color is the snake on the phone case?,Red
/kaggle/input/vrmini2/abo-images-small/images/small/92/923d7c29.jpg,What is depicted in the case's design?,Bridge
/kaggle/input/vrmini2/abo-images-small/images/small/ca/ca3b1981.jpg,Is the bubble wrap perforated for easy tearing?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/06/06e0161f.jpg,What is the product's closure type?,Lace-up
/kaggle/input/vrmini2/abo-images-small/images/small/84/84ad9d6d.jpg,What is the brand name of this probiotic supplement?,SOLIMO
/kaggle/input/vrmini2/abo-images-small/images/small/17/17eb3897.jpg,What material is the case made of?,Silicone
/kaggle/input/vrmini2/abo-images-small/images/small/ff/ff77a6ad.jpg,Brand?,Solimo
/kaggle/input/vrmini2/abo-images-small/images/small/de/de82f0fa.jpg,"Given the image and ""Compostable in commercial facilities"" metadata, what is the cup's primary material?",PLA
/kaggle/input/vrmini2/abo-images-small/images/small/58/5876bc86.jpg,What is the dominant color of the shoe?,Black
/kaggle/input/vrmini2/abo-images-small/images/small/ce/ceb453b5.jpg,"Considering the metadata, for which phone model is this case designed?",Zenfone
/kaggle/input/vrmini2/abo-images-small/images/small/be/be21f02a.jpg,What type of dog is depicted in the picture?,Bulldog
/kaggle/input/vrmini2/abo-images-small/images/small/a1/a1231884.jpg,What is the heel type of this shoe?,Kitten
/kaggle/input/vrmini2/abo-images-small/images/small/86/86470769.jpg,How many hearts are on the pendant?,Two
/kaggle/input/vrmini2/abo-images-small/images/small/83/83a5bf31.jpg,What color is the phone case?,Pink
/kaggle/input/vrmini2/abo-images-small/images/small/e2/e2070fc8.jpg,How many colors are used in the floral design on the phone case?,Five
/kaggle/input/vrmini2/abo-images-small/images/small/bb/bbb18fd0.jpg,"Considering the metadata and the image, what is the heel type of this find. women's espadrille?",Flat
/kaggle/input/vrmini2/abo-images-small/images/small/1b/1be19cf0.jpg,What is the style of these sandals?,Slingback
/kaggle/input/vrmini2/abo-images-small/images/small/9c/9c47ab62.jpg,"Based on the image and ""Apna Time Ayega"" text, what is the case's target audience likely interested in?",Hiphop
/kaggle/input/vrmini2/abo-images-small/images/small/8b/8b5173b4.jpg,What is the brand?,AmazonBasics
/kaggle/input/vrmini2/abo-images-small/images/small/68/681757af.jpg,What is the primary material of the coffee table?,Wood
/kaggle/input/vrmini2/abo-images-small/images/small/a0/a042f619.jpg,What color are the blocks on the phone case?,Multicolored
/kaggle/input/vrmini2/abo-images-small/images/small/e8/e8c23917.jpg,What is the approximate volume of this handwash refill pouch?,750ml
/kaggle/input/vrmini2/abo-images-small/images/small/aa/aaa177ae.jpg,What color are the Amazon Essentials Shelly sneakers?,Black
/kaggle/input/vrmini2/abo-images-small/images/small/c8/c85da092.jpg,What design is featured on the case?,Floral
/kaggle/input/vrmini2/abo-images-small/images/small/dd/dd457cef.jpg,What is the primary material of these canisters?,Steel
/kaggle/input/vrmini2/abo-images-small/images/small/fd/fd22c12b.jpg,What color are the razor blades in the package?,Blue
/kaggle/input/vrmini2/abo-images-small/images/small/41/41ee032c.jpg,How many pearls are on each earring?,Four
/kaggle/input/vrmini2/abo-images-small/images/small/74/74b620a1.jpg,What is the primary material of the shoe?,PU
/kaggle/input/vrmini2/abo-images-small/images/small/8d/8d598fb5.jpg,What is the setting style?,Halo
/kaggle/input/vrmini2/abo-images-small/images/small/a5/a5c23dd7.jpg,Can this mount support a TV that weighs 50kg?,No
/kaggle/input/vrmini2/abo-images-small/images/small/fe/fe30f59f.jpg,What phone model does this case fit?,LGV20
/kaggle/input/vrmini2/abo-images-small/images/small/5b/5be8e99f.jpg,What is the product's material?,Metal
/kaggle/input/vrmini2/abo-images-small/images/small/4e/4e501c5a.jpg,"Based on the description, what type of material is this phone case?",Hard
/kaggle/input/vrmini2/abo-images-small/images/small/2e/2e17e7e1.jpg,How many sheets can it staple?,Ten
/kaggle/input/vrmini2/abo-images-small/images/small/1b/1b6797e0.jpg,"Considering its dimensions and image, is this recliner bulky?",No
/kaggle/input/vrmini2/abo-images-small/images/small/c0/c0c51c57.jpg,Is the rug rectangular or square?,Rectangular
/kaggle/input/vrmini2/abo-images-small/images/small/28/28da57fe.jpg,"Considering the keywords, what is the ring's price point?",Cheap
/kaggle/input/vrmini2/abo-images-small/images/small/99/99cb14de.jpg,What brand is this product?,AmazonBasics
/kaggle/input/vrmini2/abo-images-small/images/small/e5/e57a97bc.jpg,What is the brand name of the tissue box shown?,AmazonCommercial
/kaggle/input/vrmini2/abo-images-small/images/small/b5/b5a27622.jpg,How many butterflies are visible on the phone case?,Ten
/kaggle/input/vrmini2/abo-images-small/images/small/32/3218fc82.jpg,"Given the metadata, what is the weight of the product in pounds?",0.11
/kaggle/input/vrmini2/abo-images-small/images/small/f6/f6fa0b63.jpg,What material is the case made of?,Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/78/7890ff83.jpg,Is there a warranty?,No
/kaggle/input/vrmini2/abo-images-small/images/small/d3/d372b5f3.jpg,What is the primary material of this dining set?,Wood
/kaggle/input/vrmini2/abo-images-small/images/small/99/991e7a22.jpg,Is this case compatible with the InFocus Turbo 5 Plus?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/ef/ef1737c8.jpg,What color are the Leone running shoes?,Black
/kaggle/input/vrmini2/abo-images-small/images/small/ab/ab5de901.jpg,What material is the handle made of?,Steel
/kaggle/input/vrmini2/abo-images-small/images/small/3c/3c72ce2d.jpg,What is the primary function of this AmazonBasics product?,Relaxing
/kaggle/input/vrmini2/abo-images-small/images/small/d1/d11d1fbe.jpg,What color is the dress on the phone case?,Pink
/kaggle/input/vrmini2/abo-images-small/images/small/19/19d968e3.jpg,What is the dominant design element on the case?,Dreamcatcher
/kaggle/input/vrmini2/abo-images-small/images/small/ad/addc9e47.jpg,What type of closure do these earrings have?,Leverback
/kaggle/input/vrmini2/abo-images-small/images/small/93/9395fb96.jpg,"Considering the image and metadata, what is the primary design characteristic of this phone case?",Abstract
/kaggle/input/vrmini2/abo-images-small/images/small/2a/2a1b5f2a.jpg,"Considering the image and metadata, what is the primary color of the shoe?",White
/kaggle/input/vrmini2/abo-images-small/images/small/29/2979a70c.jpg,What number is formed by the chain on the phone case?,Six
/kaggle/input/vrmini2/abo-images-small/images/small/60/60dfdba1.jpg,What material is the case made of?,Silicone
/kaggle/input/vrmini2/abo-images-small/images/small/d8/d8b3c636.jpg,How many prominent pink flowers are visible on the case?,Three
/kaggle/input/vrmini2/abo-images-small/images/small/c6/c6d95938.jpg,Is the case 3D printed?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/5d/5d29cfdc.jpg,Is the charger larger or smaller than a deck of cards?,Larger
/kaggle/input/vrmini2/abo-images-small/images/small/3a/3aee8cce.jpg,Is the handle on the bottle located on the side?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/53/5354945f.jpg,What material is the holder made of?,Zinc
/kaggle/input/vrmini2/abo-images-small/images/small/b0/b0af2511.jpg,What is the color temperature of the AmazonBasics LED bulb shown?,Daylight
/kaggle/input/vrmini2/abo-images-small/images/small/bb/bb3bf9cd.jpg,What is the primary material of this phone case?,Silicon
/kaggle/input/vrmini2/abo-images-small/images/small/41/4157404b.jpg,What is the primary color of the pet bed?,Grey
/kaggle/input/vrmini2/abo-images-small/images/small/88/882a9762.jpg,How many cars are visible on the road in the image?,Five
/kaggle/input/vrmini2/abo-images-small/images/small/62/62663db5.jpg,"Given the image and ""Designer Golden Stars"" in the name, what is the dominant color scheme?",Gold
/kaggle/input/vrmini2/abo-images-small/images/small/22/2289fbde.jpg,"Based on the image and ""item_weight,"" how would you describe the product's portability?",Portable
/kaggle/input/vrmini2/abo-images-small/images/small/74/74bc593c.jpg,"Considering the metadata, what is the bracelet's design style?",Classic
/kaggle/input/vrmini2/abo-images-small/images/small/64/643ce391.jpg,What is the primary material of the shoe?,Leather
/kaggle/input/vrmini2/abo-images-small/images/small/69/691731a2.jpg,What is the thread count of the pillowcase fabric?,230
/kaggle/input/vrmini2/abo-images-small/images/small/f1/f10170ac.jpg,What material is the phone case made of?,Silicone
/kaggle/input/vrmini2/abo-images-small/images/small/15/15a06466.jpg,How many sets of string lights are shown in the image?,Two
/kaggle/input/vrmini2/abo-images-small/images/small/e6/e64c30e5.jpg,Is this phone case designed for the Coolpad Note 3 Lite?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/64/6439202a.jpg,How many bags are in this package?,Thirty
/kaggle/input/vrmini2/abo-images-small/images/small/eb/ebd86be5.jpg,What material is the phone case made of?,Silicone
/kaggle/input/vrmini2/abo-images-small/images/small/b2/b25f69ff.jpg,"Considering the image and metadata, what is the lamp's overall style?",Modern
/kaggle/input/vrmini2/abo-images-small/images/small/a7/a7413b9b.jpg,What phone model does it fit?,iPhone7
/kaggle/input/vrmini2/abo-images-small/images/small/ae/aef77bc7.jpg,Does the case appear to offer full protection to the phone's edges?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/ab/aba65a2f.jpg,What is the dominant color of the case design?,Brown
/kaggle/input/vrmini2/abo-images-small/images/small/ff/ff77a6ad.jpg,Color?,Multicolor
/kaggle/input/vrmini2/abo-images-small/images/small/33/339f3eb5.jpg,What style of boot is depicted?,Chelsea
/kaggle/input/vrmini2/abo-images-small/images/small/0a/0ac9bbd7.jpg,"Considering its 5-stage filtration and 30,000-gallon capacity, what is the filter's overall effectiveness?",High
/kaggle/input/vrmini2/abo-images-small/images/small/be/bee43ec4.jpg,What is the form of this supplement?,Tablets
/kaggle/input/vrmini2/abo-images-small/images/small/3a/3a5fe887.jpg,What design style best describes the case's image?,Abstract
/kaggle/input/vrmini2/abo-images-small/images/small/0f/0ffc25be.jpg,"Considering the image and metadata, what is the primary ingredient?",Flour
/kaggle/input/vrmini2/abo-images-small/images/small/b1/b1c11f66.jpg,How many zippers are visible on the boot?,One
/kaggle/input/vrmini2/abo-images-small/images/small/11/1187adcb.jpg,What material is the case made of?,Silicon
/kaggle/input/vrmini2/abo-images-small/images/small/6f/6fa39835.jpg,What color is the duvet cover in this AmazonBasics set?,Brown
/kaggle/input/vrmini2/abo-images-small/images/small/62/62503162.jpg,Does the case appear to have cutouts for the camera and buttons?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/b1/b1d97740.jpg,What is the primary material of this phone case?,Silicon
/kaggle/input/vrmini2/abo-images-small/images/small/0d/0d73b2e1.jpg,What is the keyboard layout?,AZERTY
/kaggle/input/vrmini2/abo-images-small/images/small/a2/a2eeee06.jpg,What is the case's material (inferred from image and description)?,TPU
/kaggle/input/vrmini2/abo-images-small/images/small/de/decdc9bc.jpg,What phone model is this case designed for?,Realme
/kaggle/input/vrmini2/abo-images-small/images/small/5e/5e1eefa9.jpg,What phone model is it for?,Redmi
/kaggle/input/vrmini2/abo-images-small/images/small/6b/6b6852de.jpg,What is the primary design feature of this phone case?,Abstract
/kaggle/input/vrmini2/abo-images-small/images/small/22/22359416.jpg,What color is the media console?,Brown
/kaggle/input/vrmini2/abo-images-small/images/small/c4/c451e6af.jpg,Is this case's material primarily hard or soft?,Hard
/kaggle/input/vrmini2/abo-images-small/images/small/bb/bbc04945.jpg,What phone model is it compatible with?,iPhoneXsMax
/kaggle/input/vrmini2/abo-images-small/images/small/3f/3f4ece43.jpg,What is the dominant design element on the case?,Drops
/kaggle/input/vrmini2/abo-images-small/images/small/8d/8de8122e.jpg,Is the phone case design primarily a solid color or a pattern?,Pattern
/kaggle/input/vrmini2/abo-images-small/images/small/d3/d3d71855.jpg,How many different types of hot drinks are mentioned on the cup?,Four
/kaggle/input/vrmini2/abo-images-small/images/small/dd/ddabffe1.jpg,What material is the frame constructed from?,Wood
/kaggle/input/vrmini2/abo-images-small/images/small/fc/fc59da5c.jpg,"Given the metadata, what is the weight of the product in pounds?",0.11
/kaggle/input/vrmini2/abo-images-small/images/small/6b/6ba02366.jpg,What material is the phone case made of?,Silicone
/kaggle/input/vrmini2/abo-images-small/images/small/4e/4e4e044b.jpg,"Based on the item name and image, what is the depicted scene on the case?",Desert
/kaggle/input/vrmini2/abo-images-small/images/small/0a/0a77ac12.jpg,Material?,Chenille
/kaggle/input/vrmini2/abo-images-small/images/small/de/dec0a869.jpg,What is the closure type of these running shoes?,Slip-on
/kaggle/input/vrmini2/abo-images-small/images/small/a9/a919cd2c.jpg,What is the dominant color of the ottoman's upholstery?,Beige
/kaggle/input/vrmini2/abo-images-small/images/small/41/41f9d276.jpg,What material is the upper made from?,Knit
/kaggle/input/vrmini2/abo-images-small/images/small/b0/b01d6c0a.jpg,What is the listed weight of the product?,50g
/kaggle/input/vrmini2/abo-images-small/images/small/e5/e57a97bc.jpg,Is this a single tissue box or a multi-pack?,Single
/kaggle/input/vrmini2/abo-images-small/images/small/4b/4b58554d.jpg,"Considering the image and metadata, what is the approximate capacity of a single glass?",11oz
/kaggle/input/vrmini2/abo-images-small/images/small/93/932def41.jpg,Does this case offer a warranty?,No
/kaggle/input/vrmini2/abo-images-small/images/small/23/239fe46d.jpg,What phone model is this case designed for?,Realme
/kaggle/input/vrmini2/abo-images-small/images/small/37/37715cf2.jpg,Are these sneakers designed for a formal or casual look?,Casual
/kaggle/input/vrmini2/abo-images-small/images/small/51/51327f80.jpg,What is the shoe's style?,Pump
/kaggle/input/vrmini2/abo-images-small/images/small/12/12fe296d.jpg,What is the suitcase's primary color?,Gray
/kaggle/input/vrmini2/abo-images-small/images/small/8b/8bfe2fc8.jpg,"Based on the image and ""item_name"", what is the primary design feature of this phone case?",Sandals
/kaggle/input/vrmini2/abo-images-small/images/small/17/1786d0cd.jpg,How many different colors can you identify on the phone case?,Five
/kaggle/input/vrmini2/abo-images-small/images/small/33/33d3204b.jpg,Is the hanger made of wood?,No
/kaggle/input/vrmini2/abo-images-small/images/small/01/0144694c.jpg,Is the design on the case primarily geometric or organic?,Organic
/kaggle/input/vrmini2/abo-images-small/images/small/d3/d3ce78fd.jpg,What style of shoe is shown in the image?,Oxford
/kaggle/input/vrmini2/abo-images-small/images/small/87/87c11ce5.jpg,What is the sheet's material?,Cotton
/kaggle/input/vrmini2/abo-images-small/images/small/1f/1fbfdb4b.jpg,"What material are the curtains made from, according to the metadata?",Polyester
/kaggle/input/vrmini2/abo-images-small/images/small/67/67ed7902.jpg,What US state does the pendant depict?,Oregon
/kaggle/input/vrmini2/abo-images-small/images/small/8b/8bce9dd4.jpg,"Considering the metadata's 'node' indicating ""Pliers & Pincers/Riveters"" and the image showing a throw blanket, what is the primary product category error?",Miscataloging
/kaggle/input/vrmini2/abo-images-small/images/small/f1/f17602c8.jpg,How many distinct colors are shown in the phone case design?,5
/kaggle/input/vrmini2/abo-images-small/images/small/dc/dce75bc3.jpg,What design is featured on the case?,Wooden
/kaggle/input/vrmini2/abo-images-small/images/small/e1/e15ccd37.jpg,What is the blanket's primary color?,Gray
/kaggle/input/vrmini2/abo-images-small/images/small/0f/0fd5242b.jpg,"Considering the metadata and image, what is the chair's style?",Classic
/kaggle/input/vrmini2/abo-images-small/images/small/16/16ff70c0.jpg,What type of shoe is shown in the image?,Ballerina
/kaggle/input/vrmini2/abo-images-small/images/small/b3/b3c9cae2.jpg,What is the dominant color of the phone case design?,Red
/kaggle/input/vrmini2/abo-images-small/images/small/d2/d2912f36.jpg,"Considering the image and metadata, what is the product's primary function?",Cleaning
/kaggle/input/vrmini2/abo-images-small/images/small/67/67bb6959.jpg,What type of rice is shown in the image?,Kolam
/kaggle/input/vrmini2/abo-images-small/images/small/0c/0cea50c7.jpg,"Considering the image and metadata, what is the primary design feature of this phone case?",Romantic
/kaggle/input/vrmini2/abo-images-small/images/small/38/38e3e039.jpg,"Given the metadata, what phone model is this case designed for?",Xperia
/kaggle/input/vrmini2/abo-images-small/images/small/69/69e3d0a1.jpg,What is the brand of the tomato ketchup shown in the image?,Solimo
/kaggle/input/vrmini2/abo-images-small/images/small/98/980876ec.jpg,What is the brand of this honey?,HappyBelly
/kaggle/input/vrmini2/abo-images-small/images/small/47/4723eae9.jpg,What type of material is the phone case made of?,Hard
